title,author,pub_year,venue,abstract
Evolutionary ecology,['ER Pianka'],2011,NA,"Finally, an eBook version of this now classic textbook has become available. Largely based on the 6th edition, published in 2000, this version is competitively priced. Written by well-known ecologist Eric R. Pianka, a student of the late Robert H. MacArthur, this timeless"
Testing for phylogenetic signal in comparative data: behavioral traits are more labile,"['SP Blomberg', 'T Garland Jr', 'AR Ives']",2003,Evolution,"The primary rationale for the use of phylogenetically based statistical methods is that phylogenetic signal, the tendency for related species to resemble each other, is ubiquitous. Whether this assertion is true for a given trait in a given lineage is an empirical question, but"
Phylogenies and the comparative method: a general approach to incorporating phylogenetic information into the analysis of interspecific data,"['EP Martins', 'TF Hansen']",1997,The American Naturalist,"This article considers the statistical issues relevant to the comparative method in evolutionary biology. A generalized linear model (GLM) is presented for the analysis of comparative data, which can be used to address questions regarding the relationship"
Stabilizing selection and the comparative analysis of adaptation,['TF Hansen'],1997,Evolution,"Comparative studies tend to differ from optimality and functionality studies in how they treat adaptation. While the comparative approach focuses on the origin and change of traits, optimality studies assume that adaptations are maintained at an optimum by stabilizing"
Inferring evolutionary processes from phylogenies,['M Pagel'],1997,Zoologica Scripta,"Evolutionary processes shape the regular trends of evolution and are responsible for the diversity and distribution of contemporary species. They include correlated evolutionary change and trajectories of trait evolution, convergent and parallel evolution, differential rates"
Analysis of Phylogenetics and Evolution with R,['E Paradis'],2012,NA,"The increasing availability of molecular and genetic databases coupled with the growing power of computers gives biologists opportunities to address new issues, such as the patterns of molecular evolution, and re-assess old ones, such as the role of adaptation in"
Evolutionary ecology: the Trinidadian guppy,['AE Magurran'],2005,NA,"This book celebrates the guppy's unique contribution to evolutionary ecology. Ever since Caryl Haskins described guppy populations as a'natural experiment'because of the way predation pressure varies over a small geographical area, generations of researchers have"
Size‐correction and principal components for interspecific comparative studies,['LJ Revell'],2009,Evolution: International Journal of Organic Evolution,"Phylogenetic methods for the analysis of species data are widely used in evolutionary studies. However, preliminary data transformations and data reduction procedures (such as a size‐correction and principal components analysis, PCA) are often performed without first"
"Phylogenetic signal, evolutionary process, and rate","['LJ Revell', 'LJ Harmon', 'DC Collar']",2008,Systematic biology,"A recent advance in the phylogenetic comparative analysis of continuous traits has been explicit, model-based measurement of “phylogenetic signal” in data sets composed of observations collected from species related by a phylogenetic tree. Phylogenetic signal is a"
Early bursts of body size and shape evolution are rare in comparative data,"['LJ Harmon', 'JB Losos']",2010,… Journal of Organic …,"George Gaylord Simpson famously postulated that much of life's diversity originated as adaptive radiations—more or less simultaneous divergences of numerous lines from a single ancestral adaptive type. However, identifying adaptive radiations has proven difficult"
"Using phylogenetic, functional and trait diversity to understand patterns of plant community productivity","['MW Cadotte', 'J Cavender-Bares', 'D Tilman', 'TH Oakley']",2009,PloS one,"Background Two decades of research showing that increasing plant diversity results in greater community productivity has been predicated on greater functional diversity allowing access to more of the total available resources. Thus, understanding phenotypic attributes"
Testing for different rates of continuous trait evolution using likelihood,"[""BC O'Meara"", 'C Ané', 'MJ Sanderson', 'PC Wainwright']",2006,Evolution,"Rates of phenotypic evolution have changed throughout the history of life, producing variation in levels of morphological, functional, and ecological diversity among groups. Testing for the presence of these rate shifts is a key component of evaluating hypotheses"
Comparative methods for the analysis of continuous variables: geometric interpretations,['FJ Rohlf'],2001,Evolution,This study is concerned with statistical methods used for the analysis of comparative data (in which observations are not expected to be independent because they are sampled across phylogenetically related species). The phylogenetically independent contrasts (PIC)
"General quantitative genetic methods for comparative biology: phylogenies, taxonomies and multi‐trait models for continuous and categorical characters","['JD Hadfield', 'S Nakagawa']",2010,Journal of evolutionary biology,"Although many of the statistical techniques used in comparative biology were originally developed in quantitative genetics, subsequent development of comparative techniques has progressed in relative isolation. Consequently, many of the new and planned developments"
The adaptive landscape as a conceptual bridge between micro-and macroevolution,"['SJ Arnold', 'ME Pfrender', 'AG Jones']",2001,"Microevolution rate, pattern, process","An adaptive landscape concept outlined by GG Simpson constitutes the major conceptual bridge between the fields of micro-and macroevolutionary study. Despite some important theoretical extensions since 1944, this conceptual bridge has been ignored in many"
Seven shortfalls that beset large-scale knowledge of biodiversity,"['J Hortal', 'F de Bello', 'JAF Diniz-Filho']",2015,Annual Review of …,"Ecologists and evolutionary biologists are increasingly using big-data approaches to tackle questions at large spatial, taxonomic, and temporal scales. However, despite recent efforts to gather two centuries of biodiversity inventories into comprehensive databases, many"
An eigenvector method for estimating phylogenetic inertia,"['JAF Diniz‐Filho', ""CER de Sant'Ana"", 'LM Bini']",1998,Evolution,"We propose a new method to estimate and correct for phylogenetic inertia in comparative data analysis. The method, called phylogenetic eigenvector regression (PVR) starts by performing a principal coordinate analysis on a pairwise phylogenetic distance matrix"
A method for testing the assumption of phylogenetic independence in comparative data,['E Abouheif'],1999,Evolutionary Ecology Research,"When making a comparison between two or more traits across taxa, the assumption of phylogenetic independence must be tested. Empirically determining the validity of this assumption before and after applying a phylogenetically based comparative method (PCM)"
Within-species variation and measurement error in phylogenetic comparative methods,"['AR Ives', 'PE Midford', 'T Garland Jr']",2007,Systematic biology,"Most phylogenetically based statistical methods for the analysis of quantitative or continuously varying phenotypic traits assume that variation within species is absent or at least negligible, which is unrealistic for many traits. Within-species variation has several"
Modeling stabilizing selection: expanding the Ornstein–Uhlenbeck model of adaptive evolution,"['JM Beaulieu', 'DC Jhwueng', 'C Boettiger']",2012,… Journal of Organic …,Comparative methods used to study patterns of evolutionary change in a continuous trait on a phylogeny range from Brownian motion processes to models where the trait is assumed to evolve according to an Ornstein–Uhlenbeck (OU) process. Although these models have
Evolution of gene expression in the Drosophila melanogaster subgroup,"['SA Rifkin', 'J Kim', 'KP White']",2003,Nature genetics,"Little is known about broad patterns of variation and evolution of gene expression during any developmental process. Here we investigate variation in genome-wide gene expression among Drosophila simulans, Drosophila yakuba and four strains of Drosophila"
