title,author,pub_year,venue,abstract
Genotype‐environment interaction and the evolution of phenotypic plasticity,"['S Via', 'R Lande']",1985,Evolution,"Studies of spatial variation in the environment have primarily focused on how genetic variation can be maintained. Many one‐locus genetic models have addressed this issue, but, for several reasons, these models are not directly applicable to quantitative (polygenic)"
Ecology and evolution of Darwin's finches,['PR Grant'],1999,NA,"After his famous visit to the Galápagos Islands, Darwin speculated that one might fancy that, from an original paucity of birds in this archipelago, one species had been taken and modified for different ends. This book is the classic account of how much we have since"
Comparing evolvability and variability of quantitative traits.,['D Houle'],1992,Genetics,"There are two distinct reasons for making comparisons of genetic variation for quantitative characters. The first is to compare evolvabilities, or ability to respond to selection, and the second is to make inferences about the forces that maintain genetic variability. Measures of"
The evolution of self‐fertilization and inbreeding depression in plants. I. Genetic models,"['R Lande', 'DW Schemske']",1985,Evolution,The amounts of inbreeding depression upon selfing and of heterosis upon outcrossing determine the strength of selection on the selfing rate in a population when this evolves polygenically by small steps. Genetic models are constructed which allow inbreeding
Natural selection and the heritability of fitness components,"['TA Mousseau', 'DA Roff']",1987,Heredity,"The hypothesis that traits closely associated with fitness will generally possess lower heritabilities than traits more loosely connected with fitness is tested using 1120 narrow sense heritability estimates for wild, outbred animal populations, collected from the"
"Effective population size, genetic variation, and their use in population","['R Lande', 'G Barrowclough']",1987,Viable populations for conservation,"A fundamental fact of population genetics is that in closed populations (ie, without immigration) the presence of only a small number of individuals, sustained over several generations, will lead to the depletion of genetic variation. Thus, the number of individuals is"
Evolution of a species' range,"['M Kirkpatrick', 'NH Barton']",1997,The American Naturalist,Gene flow from the center of a species' range can stymie adaptation at the periphery and prevent the range from expanding outward. We study this process using simple models that track both demography and the evolution of a quantitative trait in a population that is
The genetics of quantitative traits: challenges and prospects,"['TFC Mackay', 'EA Stone', 'JF Ayroles']",2009,Nature Reviews Genetics,A major challenge in current biology is to understand the genetic basis of variation for quantitative traits. We review the principles of quantitative trait locus mapping and summarize insights about the genetic architecture of quantitative traits that have been
The role of hybridization in evolution,['NH Barton'],2001,Molecular ecology,"Hybridization may influence evolution in a variety of ways. If hybrids are less fit, the geographical range of ecologically divergent populations may be limited, and prezygotic reproductive isolation may be reinforced. If some hybrid genotypes are fitter than one or both"
The contribution of population and community biology to conservation science,['D Simberloff'],1988,Annual review of ecology and systematics,"We often think of conservation science as a product of this decade, especially of the last three or four years. The incorporation two years ago of the Society for Conservation Biology and the appearance last year of its journal, Conн servation Biology, are a response not only"
Morphological integration,"['EC Olson', 'RL Miller']",1999,NA,"Despite recent advances in genetics, development, anatomy, systematics, and morphometrics, the synthesis of ideas and research agenda put forth in the classic Morphological Integration remains remarkably fresh, timely, and relevant. Pioneers in"
Sexual selection and the barn swallow,['AP Møller'],1994,NA,
"Loss of genetic diversity from managed populations: interacting effects of drift, mutation, immigration, selection, and population subdivision",['RC Lacy'],1987,Conservation biology,"A computer simulation program was used to examine interacting effects of genetic drift, mutation, immigration from outside populations, directional and balancing selection, and population subdivision on the loss of genetic variability from small, managed populations"
Population structure in Daphnia obtusa: quantitative genetic and allozymic variation.,['K Spitze'],1993,Genetics,Quantitative genetic analyses for body size and for life history characters within and among populations of Daphnia obtusa reveal substantial genetic variance at both hierarchical levels for all traits measured. Simultaneous allozymic analysis on the same population
Limits to the adaptive potential of small populations,"['Y Willi', 'J Van Buskirk']",2006,Annu. Rev. Ecol. Evol. Syst.,"Small populations are predicted to have reduced capacity to adapt to environmental change for two reasons. First, population genetic models indicate that genetic variation and potential response to selection should be positively correlated with population size. The empirical"
Constraints on phenotypic evolution,['SJ Arnold'],1992,The American Naturalist,"Constraints on phenotypic evolution can take a variety of forms. Constraints can arise from inheritance, selection, development, and design limits. Contemporary visions of the evolutionary process often focus on one or two of these varieties and ignore the others. A"
Understanding quantitative genetic variation,"['NH Barton', 'PD Keightley']",2002,Nature Reviews Genetics,"Until recently, it was impracticable to identify the genes that are responsible for variation in continuous traits, or to directly observe the effects of their different alleles. Now, the abundance of genetic markers has made it possible to identify quantitative trait loci (QTL)"
Evolutionary quantitative genetics: how little do we know?,"['NH Barton', 'M Turelli']",1989,Annual review of genetics,"The centenary of Galton's (84)"" Natural Inheritance"" emphasizes the continu ity between the ideas of the early pioneers and the modem renaissance of evolutionary quantitative genetics (142). Many questions posed by Galton, Weldon, and Pearson remain only partially"
Convergent domestication of cereal crops by independent mutations at corresponding genetic loci,"['AH Paterson', 'YR Lin', 'Z Li', 'KF Schertz']",1995,…,"Independent domestication of sorghum, rice, and maize involved convergent selection for large seeds, reduced disarticulation of the mature inflorescence, and daylength-insensitive flowering. These similar phenotypes are largely determined by a small number of"
Genotype-environment interactions and the maintenance of polygenic variation.,"['JH Gillespie', 'M Turelli']",1989,Genetics,Genotype-environment interactions may be a potent force maintaining genetic variation in quantitative traits in natural populations. This is shown by a simple model of additive polygenic inheritance in which the additive contributions of alleles vary with the
Classification of hypotheses on the advantage of amphimixis,['AS Kondrashov'],1993,Journal of Heredity,"A classification of hypotheses on the advantage of amphimixis over apomixis is presented. According to “Immediate Benefit” hypotheses, amphimixis is advantageous regardless of reciprocal gene exchange, because either it directly increases fitness of the progeny"
Most rare missense alleles are deleterious in humans: implications for complex disease and association studies,"['GV Kryukov', 'LA Pennacchio', 'SR Sunyaev']",2007,The American Journal of …,The accumulation of mildly deleterious missense mutations in individual human genomes has been proposed to be a genetic basis for complex diseases. The plausibility of this hypothesis depends on quantitative estimates of the prevalence of mildly deleterious de
Sex allocation,['S West'],2009,NA,"In this chapter, I describe my reasons for writing this book. In order to provide some context, I start by presenting the problems of sex allocation and a short, potted history of the field. I then provide a discussion of why I hope this book will prove useful, a description of the book"
The measurement of selection on quantitative traits: biases due to environmental covariances between traits and fitness,['MD Rausher'],1992,Evolution,The use of regression techniques for estimating the direction and magnitude of selection from measurements on phenotypes has become widespread in field studies. A potential problem with these techniques is that environmental correlations between fitness and the
Evolution and extinction in a changing environment: a quantitative‐genetic analysis,"['R Bürger', 'M Lynch']",1995,Evolution,"Because of the ubiquity of genetic variation for quantitative traits, virtually all populations have some capacity to respond evolutionarily to selective challenges. However, natural selection imposes demographic costs on a population, and if these costs are sufficiently"
Genetic models of adaptation and gene flow in peripheral populations,"['G García‐Ramos', 'M Kirkpatrick']",1997,Evolution,We investigate the interplay between gene flow and adaptation in peripheral populations of a widespread species. Models are developed for the evolution of a quantitative trait under clinally varying selection in a species whose density decreases from the center of the range
Genetic covariance of fitness correlates: what genetic correlations are made of and why it matters,['D Houle'],1991,Evolution,"The genetic variance‐covariance matrix, G, is determined in part by functional architecture, the pathways by which variation in genotype influences phenotype. I develop a simple architectural model for G for two traits under directional selection constrained by their"
