title,author,pub_year,venue,abstract
Macroevolutionary diversification rates show time dependency,"['LFH Diaz', 'LJ Harmon', 'MTC Sugawara']",2019,Proceedings of the …,"For centuries, biologists have been captivated by the vast disparity in species richness between different groups of organisms. Variation in diversity is widely attributed to differences between groups in how fast they speciate or go extinct. Such macroevolutionary"
Population genomics perspectives on convergent adaptation,"['KM Lee', 'G Coop']",2019,… Transactions of the Royal Society B,Convergent adaptation is the independent evolution of similar traits conferring a fitness advantage in two or more lineages. Cases of convergent adaptation inform our ideas about the ecological and molecular basis of adaptation. In judging the degree to which putative
Phylogenetic comparative methods and the evolution of multivariate phenotypes,"['DC Adams', 'ML Collyer']",2019,"Annual Review of Ecology, Evolution …","Evolutionary biology is multivariate, and advances in phylogenetic comparative methods for multivariate phenotypes have surged to accommodate this fact. Evolutionary trends in multivariate phenotypes are derived from distances and directions between species in a"
The evolutionary biology of species,['TG Barraclough'],2019,NA,"'Species' are central to understanding the origin and dynamics of biological diversity; explaining why lineages split into multiple distinct species is one of the main goals of evolutionary biology. However the existence of species is often taken for granted, and"
A bird's white-eye view on neosex chromosome evolution,"['T Leroy', 'Y Anselmetti', 'MK Tilak', 'S Bérard', 'L Csukonyi']",2019,BioRxiv,"Chromosomal organization is relatively stable among avian species, especially with regards to sex chromosomes. Members of the large Sylvioidea clade however have a pair of neo-sex chromosomes which is unique to this clade and originate from a parallel translocation of a"
A systematist's guide to estimating Bayesian phylogenies from morphological data,['AM Wright'],2019,Insect Systematics and Diversity,"Phylogenetic trees are crucial to many aspects of taxonomic and comparative biology. Many researchers have adopted Bayesian methods to estimate their phylogenetic trees. In this family of methods, a model of morphological evolution is assumed to have generated the"
The choice of tree prior and molecular clock does not substantially affect phylogenetic inferences of diversification rates,"['BAJ Sarver', 'MW Pennell', 'JW Brown', 'S Keeble']",2019,PeerJ,"Comparative methods allow researchers to make inferences about evolutionary processes and patterns from phylogenetic trees. In Bayesian phylogenetics, estimating a phylogeny requires specifying priors on parameters characterizing the branching process and rates of"
Paraphyletic species no more – genomic data resolve a Pleistocene radiation and validate morphological species of the Melanoplus scudderi complex (Insecta …,"['JP Huang', 'JVG Hill', 'J Ortego']",2020,Systematic …,"Rapid speciation events, with taxa generated over a short time period, are among the most investigated biological phenomena. However, molecular systematics often reveals contradictory results compared with morphological/phenotypical diagnoses of species under"
Drift and Directional Selection Are the Evolutionary Forces Driving Gene Expression Divergence in Eye and Brain Tissue of Heliconius Butterflies,"['A Catalán', 'AD Briscoe', 'S Höhna']",2019,Genetics,"Characterization of gene expression patterns across species-and the evolutionary forces driving them-can reveal processes that have remained conserved across species, as well as those that have changed in a species-specific manner... Investigating gene"
Phylogenetic mapping of scale nanostructure diversity in snakes,"['MI Arrigo', 'LMDO Vilaca']",2019,BMC …,"Many species of snakes exhibit epidermal surface nanostructures that form complex motifs conferring self-cleaning properties, and sometimes structural iridescence, to their skin. Using confocal microscopy, we show that these specialised cells can be greatly elongated along"
The molecular clock as a tool for understanding host-parasite evolution,"['R Warnock', 'J Engelstädter']",2020,NA,"The molecular clock in combination with evidence from the geological record can be applied to infer the timing and dynamics of evolutionary events. This has enormous potential to shed light on the complex and often evasive evolution of parasites. Here, we provide an overview"
Ecological interactions and macroevolution: a new field with old roots,"['DH Hembry', 'MG Weber']",2020,"Annual Review of Ecology, Evolution …","Linking interspecific interactions (eg, mutualism, competition, predation, parasitism) to macroevolution (evolutionary change on deep timescales) is a key goal in biology. The role of species interactions in shaping macroevolutionary trajectories has been studied for"
Phylogenetic comparative methods can provide important insights into the evolution of toxic weaponry,['K Arbuckle'],2018,Toxins,"The literature on chemical weaponry of organisms is vast and provides a rich understanding of the composition and mechanisms of the toxins and other components involved. However, an ecological or evolutionary perspective has often been lacking and is largely limited to (1)"
On the effect of asymmetrical trait inheritance on models of trait evolution,"['P Duchen', 'ML Alfaro', 'J Rolland', 'N Salamin']",2021,Systematic …,"Current phylogenetic comparative methods modeling quantitative trait evolution generally assume that, during speciation, phenotypes are inherited identically between the two daughter species. This, however, neglects the fact that species consist of a set of individuals"
Phylogenetic signal and evolutionary correlates of urban tolerance in a widespread neotropical lizard clade,"['KM Winchell', 'KP Schliep', 'DL Mahler', 'LJ Revell']",2020,Evolution,"Urbanization is intensifying worldwide, and while some species tolerate and even exploit urban environments, many others are excluded entirely from this new habitat. Understanding the factors that underlie tolerance of urbanization is thus of rapidly growing"
Evolution of animal chemical communication: insights from non-model species and phylogenetic comparative methods,['S Baeckens'],2019,Belgian Journal of Zoology,"Chemical communication is probably the oldest, most ubiquitous form of information exchange in the natural world, spanning all three domains of life. While excellent sociobiological and behavioral ecological research has been conducted on the form and"
A general and efficient algorithm for the likelihood of diversification and discrete-trait evolutionary models,"['S Louca', 'MW Pennell']",2020,Systematic biology,"As the size of phylogenetic trees and comparative data continue to grow and more complex models are developed to investigate the processes that gave rise to them, macroevolutionary analyses are becoming increasingly limited by computational"
Hierarchical controls on extinction selectivity across the diplobathrid crinoid phylogeny,['SR Cole'],2021,Paleobiology,"Identifying correlates of extinction risk is important for understanding the underlying mechanisms driving differential rates of extinction and variability in the temporal durations of taxa. Increasingly, it is recognized that the effects of multiple, potentially interacting variables"
Contributions of bayesian phylogenetics to exploring patterns of macroevolution in archaeological data,"['E Gjesfjeld', 'P Jordan']",2019,Handbook of Evolutionary Research in …,"Archaeology is often defined by our interest in how cultural traditions change over time and generate patterns of material culture diversity. As acknowledged throughout the history of archaeological research, evolutionary biology broadly parallels these interests by also"
Phylogenetic signature of fungal response to long-term chemical pollution,"['VS Mikryukov', 'OV Dulya', 'MV Modorov']",2020,Soil Biology and Biochemistry,Territories around industrial enterprises represent gradients of soil acidity and heavy metal excess. Exploration of soil fungal communities in pollution gradients serves the remediation interests and brings fundamental knowledge about biota response to environmental
Radiation of tropical island bees and the role of phylogenetic niche conservatism as an important driver of biodiversity,"['JB Dorey', 'SVC Groom']",2020,… of the Royal …,"Island biogeography explores how biodiversity in island ecosystems arises and is maintained. The topographical complexity of islands can drive speciation by providing a diversity of niches that promote adaptive radiation and speciation. However, recent studies"
