title,author,pub_year,venue,abstract
The blind watchmaker: Why the evidence of evolution reveals a universe without design,['R Dawkins'],1996,NA,"The watchmaker belongs to the eighteenth-century theologian William Paley, who made one of the most famous creationist arguments: Just as a watch is too complicated and too functional to have sprung into existence by accident, so too must all living things, with their"
Models of speciation by sexual selection on polygenic traits,['R Lande'],1981,Proceedings of the National Academy of …,The joint evolution of female mating preferences and secondary sexual characters of males is modeled for polygamous species in which males provide only genetic material to the next generation and females have many potential mates to choose among. Despite stabilizing
Sexual conflict,"['G Arnqvist', 'L Rowe']",2013,NA,"Early in our Ph. D. programs, we met briefly at the XVIIIth International Congress of Entomology in Vancouver. At the time, both of us were studying the reproductive biology of water striders, so we kept in touch over the next few years. Remarkably, by the end of our"
Phenotypic plasticity and the origins of diversity,['MJ West-Eberhard'],1989,Annual review of Ecology and Systematics,"Phenotypic plasticity is the ability of a single genotype to produce more than one alternative form of morphology, physiological state, and/or behavior in response to environmental conditions."" Plasticity"" and"" development"" are related terms that are becoming in creasingly"
Genotype‐environment interaction and the evolution of phenotypic plasticity,"['S Via', 'R Lande']",1985,Evolution,"Studies of spatial variation in the environment have primarily focused on how genetic variation can be maintained. Many one‐locus genetic models have addressed this issue, but, for several reasons, these models are not directly applicable to quantitative (polygenic)"
"Morphology, performance and fitness",['SJ Arnold'],1983,American Zoologist,"Selection can be measured in natural populations by the changes it causes in the means, variances and covariances of phenotypic characters. Furthermore the force of selection can be measured in conventional statistical terms that also play a key role in theoretical"
On the measurement of natural and sexual selection: theory,"['SJ Arnold', 'MJ Wade']",1984,Evolution,"The primary contributions of this paper are, first, an elucidation of the relationship between various measures of selection and their relationships to predictive equations for evolutionary change. We show that the opportunity for selection (variance in relative fitness) places an"
Sexual selection and the evolution of female choice,['M Kirkpatrick'],1982,Evolution,The evolution of sexual selection is studied using a two-locus model of a polygynous population that follows both a male trait causing loss of viability and a female mating preference for that trait. The major conclusion is that such a mating preference is selected
The evolution of body size: what keeps organisms small?,['WU Blanckenhorn'],2000,The quarterly review of biology,"It is widely agreed that fecundity selection and sexual selection are the major evolutionary forces that select for larger body size in most organisms. The general, equilibrium view is that selection for large body size is eventually counterbalanced by opposing selective"
Allometry for sexual size dimorphism: pattern and process in the coevolution of body size in males and females,['DJ Fairbairn'],1997,Annual review of ecology and systematics,"Sexual size dimorphism (SSD) is common in both plants and animals, and current evidence suggests that it reflects the adaptation of males and females to their different reproductive roles. When species are compared within a clade, SSD is frequently found to vary with body"
The evolution of mate choice and mating biases,"['H Kokko', 'R Brooks', 'MD Jennions']",2003,Proceedings of the …,"We review the current status of three well–established models (direct benefits, indirect benefits and sensory drive) and one newcomer (antagonistic chase–away) of the evolution of mate choice and the biases that are expressed during choice. We highlight the differences"
The blind watchmaker: Why the evidence of evolution reveals a universe without design,['R Dawkins'],1996,NA,
Infanticide: comparative and evolutionary perspectives,"['G Hausfater', 'SB Hrdy']",2017,NA,"Recent field studies of a variety of mammalian species reveal a surprisingly high frequency of infanticide-the killing of unweaned or otherwise maternally dependent offspring. Similarly, studies of birds, fish, amphibians, and invertebrates demonstrate egg and larval mortality in"
Truth in advertising: the kinds of traits favored by sexual selection,"['A Kodric-Brown', 'JH Brown']",1984,The American Naturalist,The truth in advertising model describes a mechanism of sexual selection to account for the evolution of the kinds of traits used by males of polygynous species to compete for and attract mates. Sexual selection favors the display of male traits that vary phenotypically
