title,author,pub_year,venue,abstract
Evolutionary quantitative genetics,['DA Roff'],2012,NA,"The impetus for this book arose out of my previous book, The Evolution of Life Histories (Roff, 1992). In that book I presented a single chapter on quanti tative genetic theory. However, as the book was concerned with the evolution of life histories and traits connected"
Comparison of genetic differentiation at marker loci and quantitative traits,"['J Merilä', 'P Crnokrak']",2001,Journal of Evolutionary Biology,"The comparison of the degree of differentiation in neutral marker loci and genes coding quantitative traits with standardized and equivalent measures of genetic differentiation (FST and QST, respectively) can provide insights into two important but seldom explored"
Phylogenies and quantitative characters,['J Felsenstein'],1988,Annual Review of Ecology and Systematics,"Systematists and evolutionary geneticists don't often talk to each other, and they routinely disparage each other's work as being of little relevance to evolution. Systematists sometimes invoke the punctuationist argument that most evolutionary change does not occur by"
Limits to the adaptive potential of small populations,"['Y Willi', 'J Van Buskirk']",2006,Annu. Rev. Ecol. Evol. Syst.,"Small populations are predicted to have reduced capacity to adapt to environmental change for two reasons. First, population genetic models indicate that genetic variation and potential response to selection should be positively correlated with population size. The empirical"
Evolutionary quantitative genetics: how little do we know?,"['NH Barton', 'M Turelli']",1989,Annual review of genetics,"The centenary of Galton's (84)"" Natural Inheritance"" emphasizes the continu ity between the ideas of the early pioneers and the modem renaissance of evolutionary quantitative genetics (142). Many questions posed by Galton, Weldon, and Pearson remain only partially"
The frailty of adaptive hypotheses for the origins of organismal complexity,['M Lynch'],2007,Proceedings of the National Academy of …,The vast majority of biologists engaged in evolutionary studies interpret virtually every aspect of biodiversity in adaptive terms. This narrow view of evolution has become untenable in light of recent observations from genomic sequencing and population-genetic
The evolutionary genetics of personality,"['L Penke', 'JJA Denissen', 'GF Miller']",2007,European Journal of …,"Genetic influences on personality differences are ubiquitous, but their nature is not well understood. A theoretical framework might help, and can be provided by evolutionary genetics. We assess three evolutionary genetic mechanisms that could explain genetic"
Evolution and extinction in a changing environment: a quantitative‐genetic analysis,"['R Bürger', 'M Lynch']",1995,Evolution,"Because of the ubiquity of genetic variation for quantitative traits, virtually all populations have some capacity to respond evolutionarily to selective challenges. However, natural selection imposes demographic costs on a population, and if these costs are sufficiently"
Translating between microevolutionary process and macroevolutionary patterns: the correlation structure of interspecific data,"['TF Hansen', 'EP Martins']",1996,Evolution,"As species evolve along a phylogenetic tree, we expect closely related species to retain some phenotypic similarities due to their shared evolutionary histories. The amount of expected similarity depends both on the hierarchical phylogenetic structure, and on the"
Quantitative trait loci in Drosophila,['TFC Mackay'],2001,Nature reviews genetics,Phenotypic variation for quantitative traits results from the simultaneous segregation of alleles at multiple quantitative trait loci. Understanding the genetic architecture of quantitative traits begins with mapping quantitative trait loci to broad genomic regions and
Quantitative trait loci in Drosophila,['TFC Mackay'],2001,Nature reviews genetics,Phenotypic variation for quantitative traits results from the simultaneous segregation of alleles at multiple quantitative trait loci. Understanding the genetic architecture of quantitative traits begins with mapping quantitative trait loci to broad genomic regions and
Perspective: spontaneous deleterious mutation,"['M Lynch', 'J Blanchard', 'D Houle', 'T Kibota', 'S Schultz']",1999,…,"Mildly deleterious mutation has been invoked as a leading explanation for a diverse array of observations in evolutionary genetics and molecular evolution and is thought to be a significant risk of extinction for small populations. However, much of the empirical evidence"
A quantitative-genetic perspective on conservation issues,['M Lynch'],1995,Conservation genetics: case histories from nature,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索
Evolution of resistance to high temperature in ectotherms,"['RB Huey', 'JG Kingsolver']",1993,The American Naturalist,Body temperature influences the performance and fitness of ectotherms. How thermal sensitivity responds to selection for resistance to high temperature is broadly relevant in evolutionary physiology and also has practical implications. We review several
Resolving the paradox of stasis: models with stabilizing selection explain evolutionary divergence on all timescales,"['S Estes', 'SJ Arnold']",2007,The american naturalist,"We tested the ability of six quantitative genetic models to explain the evolution of phenotypic means using an extensive database compiled by Gingerich. Our approach differs from past efforts in that we use explicit models of evolutionary process, with parameters estimated from"
