title,author,pub_year,counts
Context-dependency of mutation and the maintenance of genetic variation for life -history traits in natural populations of Daphnia pulicaria,['KK Morgan'],2001.0,6
How much heritable variation can be maintained in finite populations by mutation–selection balance?,"['R Bürger', 'GP Wagner', 'F Stettinger']",1989.0,5
The rate of polygenic mutation,['M Lynch'],1988.0,5
"Adaptive landscapes, genetic distance and the evolution of quantitative characters","['NH Barton', 'M Turelli']",1987.0,5
Evolution of genetic variability and the advantage of sex and recombination in changing environments,['R Bürger'],1999.0,4
Mathematical properties of mutation-selection models,['R Bürger'],1998.0,4
"Mutation, selection, and the maintenance of life‐history variation in a natural population","['M Lynch', 'L Latta', 'J Hicks', 'M Giorgianni']",1998.0,4
Distribution of effects of new mutations affecting quantitative traits,['TFC Mackay'],1990.0,4
Evolutionary quantitative genetics: how little do we know?,"['NH Barton', 'M Turelli']",1989.0,4
Quantitative genetic variability maintained by mutation-stabilizing selection balance: sampling variation and response to subsequent directional selection,"['PD Keightley', 'WG Hill']",1989.0,4
The maintenance of polygenic variation in finite populations,['D Houle'],1989.0,4
Interplay between extreme drift and selection intensities favors the fixation of beneficial mutations in selfing maize populations,"['A Desbiez-Piat', 'A Le Rouzic', 'MI Tenaillon', 'C Dillmann']",2021.0,3
Interplay between extreme drift and selection intensities favors the fixation of beneficial mutations in selfing maize populations,"['A Desbiez-Piat', 'A Le Rouzic', 'MI Tenaillon']",2021.0,3
"Mutation, selection, and quantitative genetic architecture of susceptibility to bacterial pathogens in C. elegans","['LM Johnson', 'S Saber', 'MMI Rifat', 'S Rouse', 'CF Baer']",2021.0,3
Phylogenetic comparative methods,['LJ Harmon'],2019.0,3
Thinking about the evolution of complex traits in the era of genome-wide association studies,"['G Sella', 'NH Barton']",2019.0,3
Phylogenetic comparative methods: learning from trees,['L Harmon'],2018.0,3
Universality in the Evolution of Molecular Phenotypes,['T Held'],2018.0,3
Gene expression evolves under a house-of-cards model of stabilizing selection,"['A Hodgins-Davis', 'DP Rice']",2015.0,3
Mutation is a sufficient and robust predictor of genetic variation for mitotic spindle traits in C. elegans,"['R Farhadifar', 'JM Ponciano', 'EC Andersen']",2015.0,3
Stability and response of polygenic traits to stabilizing selection and mutation,"['HP de Vladar', 'N Barton']",2014.0,3
"An integrative view of phylogenetic comparative methods: connections to population genetics, community ecology, and paleobiology","['MW Pennell', 'LJ Harmon']",2013.0,3
quantitative traits,"['WG Hill', 'SH Mbaga']",2012.0,3
Mutational bias for body size in rhabditid nematodes,"['D Ostrow', 'N Phillips', 'A Avalos', 'D Blanton', 'A Boggs']",2007.0,3
MODELING THE ADAPTIVE POTENTIAL OF ISOLATED POPULATIONS: EXPERIMENTAL SIMULATIONS USING DROSOPHILA,"['WR Swindell', 'JL Bouzat']",2005.0,3
Polygenic Mutation in Drosophila melanogaster Mapping Spontaneous Mutations Affecting Sensory Bristle Number,"['TFC Mackay', 'RF Lyman', 'F Lawrence']",2005.0,3
Theoretical models of selection and mutation on quantitative traits,"['T Johnson', 'N Barton']",2005.0,3
Evolutionary conservation biology,"['R Ferrière', 'U Dieckmann', 'D Couvet']",2004.0,3
Pattern and evolution of pleiotropic effects: analysis of QTL data and an epistatic model,['JG Mezey'],2000.0,3
Spontaneous Mutational Effects on Reproductive Traits of Arabidopsis thaliana,"['RG Shaw', 'DL Byers', 'E Darmo']",2000.0,3
Clines in polygenic traits,['NH Barton'],1999.0,3
Perspective: spontaneous deleterious mutation,"['M Lynch', 'J Blanchard', 'D Houle', 'T Kibota', 'S Schultz']",1999.0,3
Mutation and conflicts between artificial and natural selection for quantitative traits,"['WG Hill', 'SH Mbaga']",1998.0,3
Mutation and the evolution of age-specific mortality rates: Experimental results and statistical developments,['SD Pletcher'],1998.0,3
Polygenic mutation in Drosophila melanogaster: genotype× environment interaction for spontaneous mutations affecting bristle number,"['TFC Mackay', 'RF Lyman']",1998.0,3
"Imperfect genes, Fisherian mutation and the evolution of sex","['JR Peck', 'G Barreau', 'SC Heath']",1997.0,3
Perspective: a critique of Sewall Wright's shifting balance theory of evolution,"['JA Coyne', 'NH Barton', 'M Turelli']",1997.0,3
A quantitative-genetic perspective on conservation issues,['M Lynch'],1995.0,3
Evolution and extinction in a changing environment: a quantitative‐genetic analysis,"['R Bürger', 'M Lynch']",1995.0,3
Mutation load and mutation-selection-balance in quantitative genetic traits,"['R Bürger', 'J Hofbauer']",1994.0,3
Accounting for bias in estimates of the rate of polygenic mutation,"['PD Keightley', 'TFC Mackay']",1993.0,3
Evolutionary models of quantitative disease risk factors,"['A Connor', 'KM Weiss', 'SC Weeks']",1993.0,3
Neutral theory of quantitative genetic variance in an island model with local extinction and colonization,['R Lande'],1992.0,3
POLYGENIC MUTATION IN DROSOPHILA MELANOGASTER: ESTIMATES FROM DIVERGENCE AMONG INBRED STRAINS,"['TFC Mackay', 'RF Lyman', 'MS Jackson', 'C Terzian']",1992.0,3
Small population genetic variability at loci under stabilizing selection,['P Foley'],1992.0,3
Dynamics of polygenic characters under selection,"['M Turelli', 'NH Barton']",1990.0,3
Multiple equilibria and maintenance of additive genetic variance in a model of pleiotropy,"['A Hastings', 'CL Hom']",1990.0,3
Quantitative genetic variation induced by P transposable elements in Drosophila melanogaster,['C Lai'],1990.0,3
Quantitative variation in finite parthenogenetic populations: what stops Muller's ratchet in the absence of recombination?,"['GP Wagner', 'W Gabriel']",1990.0,3
Mutation-selection models in population genetics and evolutionary game theory,['R Bürger'],1989.0,3
Phylogenetic hypotheses under the assumption of neutral quantitative‐genetic variation,['M Lynch'],1989.0,3
Mutation-selection balance and continuum-of-alleles models,['R Bu'],1988.0,3
Quantitative genetic variability maintained by mutation-stabilizing selection balance in finite populations,"['PD Keightley', 'WG Hill']",1988.0,3
Rate tests for selection on quantitative characters during macroevolution and microevolution,"['M Turelli', 'JH Gillespie', 'R Lande']",1988.0,3
The maintenance of genetic variation: a functional analytic approach to quantitative genetic models,['R Bürger'],1988.0,3
Genetic correlations: the quantitative genetics of evolutionary constraints,['AG Clark'],1987.0,3
Genetic differentiation of quantitative characters between populations or species II: optimal selection in infinite populations,"['P Narain', 'R Chakraborty']",1987.0,3
Heritable variation and heterozygosity under a balance between mutations and stabilizing selection,['M Slatkin'],1987.0,3
