title,author,pub_year,counts
Phylogenetic comparative methods,['LJ Harmon'],2019.0,6
Phylogenetic comparative methods: learning from trees,['L Harmon'],2018.0,6
Evaluating the role of natural selection in the evolution of gene regulation,"['JC Fay', 'PJ Wittkopp']",2008.0,4
MIPoD: a hypothesis-testing framework for microevolutionary inference from patterns of divergence,"['PA Hohenlohe', 'SJ Arnold']",2008.0,4
Understanding the evolution and stability of the G‐matrix,"['SJ Arnold', 'R Bürger', 'PA Hohenlohe']",2008.0,4
MODELING THE ADAPTIVE POTENTIAL OF ISOLATED POPULATIONS: EXPERIMENTAL SIMULATIONS USING DROSOPHILA,"['WR Swindell', 'JL Bouzat']",2005.0,4
Evolutionary conservation biology,"['R Ferrière', 'U Dieckmann', 'D Couvet']",2004.0,4
"Quantitative characters, phylogenies, and morphometrics",['J Felsenstein'],2002.0,4
The adaptive landscape as a conceptual bridge between micro-and macroevolution,"['SJ Arnold', 'ME Pfrender', 'AG Jones']",2001.0,4
"Mutation, selection, and the maintenance of life‐history variation in a natural population","['M Lynch', 'L Latta', 'J Hicks', 'M Giorgianni']",1998.0,4
Constraints on phenotypic evolution,['SJ Arnold'],1992.0,4
Neutral theory of quantitative genetic variance in an island model with local extinction and colonization,['R Lande'],1992.0,4
MORPHOMETRIC VARIABILITY IN CONTINENTAL AND ATLANTIC ISLAND POPULATIONS OF CHAFFINCHES (FRINGILLA COELEBS),"['MD Dennison', 'AJ Baker']",1991.0,4
Evolutionary quantitative genetics: how little do we know?,"['NH Barton', 'M Turelli']",1989.0,4
Phylogenetic hypotheses under the assumption of neutral quantitative‐genetic variation,['M Lynch'],1989.0,4
The maintenance of polygenic variation in finite populations,['D Houle'],1989.0,4
Rate tests for selection on quantitative characters during macroevolution and microevolution,"['M Turelli', 'JH Gillespie', 'R Lande']",1988.0,4
The rate of polygenic mutation,['M Lynch'],1988.0,4
"Adaptive landscapes, genetic distance and the evolution of quantitative characters","['NH Barton', 'M Turelli']",1987.0,4
Phenotypic evolution by neutral mutation,"['M Lynch', 'WG Hill']",1986.0,4
Quantitative genetic models of sexual selection,['SJ Arnold'],1985.0,4
The evolutionary biology of species,['TG Barraclough'],2019.0,3
Thinking about the evolution of complex traits in the era of genome-wide association studies,"['G Sella', 'NH Barton']",2019.0,3
Darwinism for the genomic age: connecting mutation to diversification,"['X Hua', 'L Bromham']",2017.0,3
Cliff-edge model of obstetric selection in humans,"['P Mitteroecker', 'SM Huttegger']",2016.0,3
Gene expression evolves under a house-of-cards model of stabilizing selection,"['A Hodgins-Davis', 'DP Rice']",2015.0,3
Model adequacy and the macroevolution of angiosperm functional traits,"['MW Pennell', 'RG FitzJohn', 'WK Cornwell']",2015.0,3
mvmorph: an r package for fitting multivariate evolutionary models to morphometric data,"['J Clavel', 'G Escarguel']",2015.0,3
"Evolutionary insights into global patterns of human cranial diversity: population history, climatic and dietary effects",['N von Cramon-Taubadel'],2014.0,3
Rapid evolution of quantitative traits: theoretical perspectives,"['M Kopp', 'S Matuszewski']",2014.0,3
Small and ugly? Phylogenetic analyses of the “selfing syndrome” reveal complex evolutionary fates of monomorphic primrose flowers,"['JM De Vos', 'RO Wüest', 'E Conti']",2014.0,3
"An integrative view of phylogenetic comparative methods: connections to population genetics, community ecology, and paleobiology","['MW Pennell', 'LJ Harmon']",2013.0,3
Genetic constraints on adaptation to a changing environment,['LM Chevin'],2013.0,3
The evolution of canalization and evolvability in stable and fluctuating environments,"['A Le Rouzic', 'JM Álvarez-Castro', 'TF Hansen']",2013.0,3
A phylogenetic comparative method for studying multivariate adaptation,"['K Bartoszek', 'J Pienaar', 'P Mostad', 'S Andersson']",2012.0,3
quantitative traits,"['WG Hill', 'SH Mbaga']",2012.0,3
Heritability is not evolvability,"['TF Hansen', 'C Pélabon', 'D Houle']",2011.0,3
The role of genetic drift in shaping modern human cranial evolution: a test using microevolutionary modeling,['HF Smith'],2011.0,3
What animal breeding has taught us about evolution,"['WG Hill', 'M Kirkpatrick']",2010.0,3
Piscivory limits diversification of feeding morphology in centrarchid fishes,"['DC Collar', ""BC O'Meara""]",2009.0,3
A comparative method for studying adaptation to a randomly evolving environment,"['TF Hansen', 'J Pienaar', 'SH Orzack']",2008.0,3
Close correspondence between quantitative-and molecular-genetic divergence times for Neandertals and modern humans,"['TD Weaver', 'CC Roseman']",2008.0,3
Evolution toward a new adaptive optimum: phenotypic evolution in a fossil stickleback lineage,"['G Hunt', 'MA Bell', 'MP Travis']",2008.0,3
Testing quantitative genetic hypotheses about the evolutionary rate matrix for continuous characters,"['LJ Revell', 'LJ Harmon']",2008.0,3
The degree and pattern of phylogenetic signal in primate long-bone structure,"[""MC O'Neill"", 'SD Dobson']",2008.0,3
Molecules versus morphology? Not for the human cranium,"['CC Roseman', 'TD Weaver']",2007.0,3
Resolving the paradox of stasis: models with stabilizing selection explain evolutionary divergence on all timescales,"['S Estes', 'SJ Arnold']",2007.0,3
Were neandertal and modern human cranial differences produced by natural selection or genetic drift?,"['TD Weaver', 'CC Roseman', 'CB Stringer']",2007.0,3
Testing for different rates of continuous trait evolution using likelihood,"[""BC O'Meara"", 'C Ané', 'MJ Sanderson', 'PC Wainwright']",2006.0,3
"Back to the future: genetic correlations, adaptation and speciation","['S Via', 'DJ Hawthorne']",2005.0,3
Polygenic Mutation in Drosophila melanogaster Mapping Spontaneous Mutations Affecting Sensory Bristle Number,"['TFC Mackay', 'RF Lyman', 'F Lawrence']",2005.0,3
On the simulation of the evolution of morphological shape: multivariate shape under selection and drift,['PD Polly'],2004.0,3
Constraints on the evolution of males and sexual dimorphism: field estimates of genetic architecture of reproductive traits in three populations of gynodioecious …,['TL Ashman'],2003.0,3
Epistasis in polygenic traits and the evolution of genetic architecture under stabilizing selection,"['J Hermisson', 'TF Hansen']",2003.0,3
Evolution of gene expression in the Drosophila melanogaster subgroup,"['SA Rifkin', 'J Kim', 'KP White']",2003.0,3
Performance surfaces and adaptive landscapes,['SJ Arnold'],2003.0,3
"A comparison of phenotypic variation and covariation patterns and the role of phylogeny, ecology, and ontogeny during cranial evolution of New World monkeys","['G Marroig', 'JM Cheverud']",2001.0,3
Context-dependency of mutation and the maintenance of genetic variation for life -history traits in natural populations of Daphnia pulicaria,['KK Morgan'],2001.0,3
Demographic and evolutionary responses to selective harvesting in populations with discrete generations,"['S Ratner', 'R Lande']",2001.0,3
Modeling genetic architecture: a multilinear theory of gene interaction,"['TF Hansen', 'GP Wagner']",2001.0,3
Predicting the evolution of sexual size dimorphism,"['JP Reeve', 'DJ Fairbairn']",2001.0,3
Predicting long-term response to selection,['JP REEVE'],2000.0,3
The evolution of the G matrix: selection or drift?,['D Roff'],2000.0,3
Estimation of ancestral states of continuous characters: a computer simulation study,['EP Martins'],1999.0,3
Evolution of genetic variability and the advantage of sex and recombination in changing environments,['R Bürger'],1999.0,3
