title,author,pub_year,venue,abstract
Evolution of life histories: theory and analysis,['D Roff'],1993,NA,"There are many different types of organisms in the world: they differ in size, physiology, appearance, and life history. The challenge for evolutionary biology is to explain how such diversity arises. The Evolution of Life Histories does this by showing that natural selection is"
The measurement of selection on correlated characters,"['R Lande', 'SJ Arnold']",1983,Evolution,"Multivariate statistical methods are derived for measuring selection solely from observed changes in the distribution of phenotypic characters in a population within a generation. Selective effects are readily detectable in characters that do not change with age, such as"
Geometric morphometrics for biologists: a primer,"['ML Zelditch', 'DL Swiderski', 'HD Sheets']",2012,NA,The first edition of Geometric Morphometrics for Biologists has been the primary resource for teaching modern geometric methods of shape analysis to biologists who have a stronger background in biology than in multivariate statistics and matrix algebra. These geometric
Gene flow and the geographic structure of natural populations,['M Slatkin'],1987,Science,There is abundant geographic variation in both morphology and gene frequency in most species. The extent of geographic variation results from a balance of forces tending to produce local genetic differentiation and forces tending to produce genetic homogeneity
Principles of animal communication,"['JW Bradbury', 'SL Vehrencamp']",1998,NA,"2 Amy, M., M. Monbureau, C. Durand, D. Gomez, M. Thery, and G. Leboucher. 2008. Female  canary mate preferences: differential use of information from two types of male-male  interaction. Animal Behaviour 76: 971–982  3 Aragon, P. 2009. Conspecific male chemical"
Integrating animal temperament within ecology and evolution,"['D Réale', 'SM Reader', 'D Sol', 'PT McDougall']",2007,Biological …,"Temperament describes the idea that individual behavioural differences are repeatable over time and across situations. This common phenomenon covers numerous traits, such as aggressiveness, avoidance of novelty, willingness to take risks, exploration, and sociality"
Geometric morphometrics: ten years of progress following the 'revolution',"['DC Adams', 'FJ Rohlf', 'DE Slice']",2004,Italian Journal of Zoology,"The analysis of shape is a fundamental part of much biological research. As the field of statistics developed, so have the sophistication of the analysis of these types of data. This lead to multivariate morphometrics in which suites of measurements were analyzed together"
Genotype‐environment interaction and the evolution of phenotypic plasticity,"['S Via', 'R Lande']",1985,Evolution,"Studies of spatial variation in the environment have primarily focused on how genetic variation can be maintained. Many one‐locus genetic models have addressed this issue, but, for several reasons, these models are not directly applicable to quantitative (polygenic)"
"Sexual dimorphism, sexual selection, and adaptation in polygenic characters",['R Lande'],1980,Evolution,The evolution of sexual dimorphism in quantitative characters under natural and sexual selection acting differently on the sexes is analyzed using population genetics models. The effects of genes when in males may be correlated with their effects when in females
The strength of phenotypic selection in natural populations,"['JG Kingsolver', 'HE Hoekstra']",2001,The American …,How strong is phenotypic selection on quantitative traits in the wild? We reviewed the literature from 1984 through 1997 for studies that estimated the strength of linear and quadratic selection in terms of standardized selection gradients or differentials on natural
Heritability in the genomics era—concepts and misconceptions,"['PM Visscher', 'WG Hill', 'NR Wray']",2008,Nature reviews genetics,"Heritability allows a comparison of the relative importance of genes and environment to the variation of traits within and across populations. The concept of heritability and its definition as an estimable, dimensionless population parameter was introduced by Sewall Wright and"
The ecology of adaptive radiation,['D Schluter'],2000,NA,
"Morphology, performance and fitness",['SJ Arnold'],1983,American Zoologist,"Selection can be measured in natural populations by the changes it causes in the means, variances and covariances of phenotypic characters. Furthermore the force of selection can be measured in conventional statistical terms that also play a key role in theoretical"
"Adaptation, migration or extirpation: climate change outcomes for tree populations","['SN Aitken', 'S Yeaman', 'JA Holliday']",2008,Evolutionary …,"Species distribution models predict a wholesale redistribution of trees in the next century, yet migratory responses necessary to spatially track climates far exceed maximum post‐glacial rates. The extent to which populations will adapt will depend upon phenotypic variation"
Developmental constraints and evolution: a perspective from the Mountain Lake conference on development and evolution,"['JM Smith', 'R Burian', 'S Kauffman']",1985,… Quarterly Review of …,"Developmental constraints (defined as biases on the production of variant phenotypes or limitations on phenotypic variability caused by the structure, character, composition, or dynamics of the developmental system) undoubtedly play a significant role in evolution. Yet"
Multivariate analysis in ecology and systematics: panacea or Pandora's box?,"['FC James', 'CE McCulloch']",1990,Annual review of Ecology and …,"Multivariate analysis provides statistical methods for study of the joint rela tionships of variables in data that contain intercorrelations. Because several variables can be considered simultaneously, interpretations can be made that are not possible with univariate"
On the measurement of natural and sexual selection: theory,"['SJ Arnold', 'MJ Wade']",1984,Evolution,"The primary contributions of this paper are, first, an elucidation of the relationship between various measures of selection and their relationships to predictive equations for evolutionary change. We show that the opportunity for selection (variance in relative fitness) places an"
Ecological speciation,['P Nosil'],2012,NA,"The origin of biological diversity, via the formation of new species, can be inextricably linked to adaptation to the ecological environment. Specifically, ecological processes are central to the formation of new species when barriers to gene flow (reproductive isolation) evolve"
The dynamical theory of coevolution: a derivation from stochastic ecological processes,"['U Dieckmann', 'R Law']",1996,Journal of mathematical biology,In this paper we develop a dynamical theory of coevolution in ecological communities. The derivation explicitly accounts for the stochastic components of evolutionary change and is based on ecological processes at the level of the individual. We show that the
Morphological integration,"['EC Olson', 'RL Miller']",1999,NA,"Despite recent advances in genetics, development, anatomy, systematics, and morphometrics, the synthesis of ideas and research agenda put forth in the classic Morphological Integration remains remarkably fresh, timely, and relevant. Pioneers in"
Stabilizing selection and the comparative analysis of adaptation,['TF Hansen'],1997,Evolution,"Comparative studies tend to differ from optimality and functionality studies in how they treat adaptation. While the comparative approach focuses on the origin and change of traits, optimality studies assume that adaptations are maintained at an optimum by stabilizing"
Adaptive radiation along genetic lines of least resistance,['D Schluter'],1996,Evolution,"Are measurements of quantitative genetic variation useful for predicting long‐term adaptive evolution? To answer this question, I focus on gmax, the multivariate direction of greatest additive genetic variance within populations. Original data on threespine sticklebacks"
"Dynamics of adaptation and diversification: a 10,000-generation experiment with bacterial populations","['RE Lenski', 'M Travisano']",1994,Proceedings of the National …,"We followed evolutionary change in 12 populations of Escherichia coli propagated for 10,000 generations in identical environments. Both morphology (cell size) and fitness (measured in competition with the ancestor) evolved rapidly for the first 2000 generations or"
Optimality theory in evolutionary biology,"['GA Parker', 'JM Smith']",1990,Nature,"REVIEW ARTICLE Optimality theory in evolutionary biology G, A, Parker & J, Maynard Smith  Optimization models help us to test our insight into the biological constraints that influence the  outcome of evolution. They serve to improve our understanding about adaptations, rather than"
Allometry for sexual size dimorphism: pattern and process in the coevolution of body size in males and females,['DJ Fairbairn'],1997,Annual review of ecology and systematics,"Sexual size dimorphism (SSD) is common in both plants and animals, and current evidence suggests that it reflects the adaptation of males and females to their different reproductive roles. When species are compared within a clade, SSD is frequently found to vary with body"
"Suppression of oxidative stress by β-hydroxybutyrate, an endogenous histone deacetylase inhibitor","['T Shimazu', 'MD Hirschey', 'J Newman', 'W He']",2013,…,Concentrations of acetyl–coenzyme A and nicotinamide adenine dinucleotide (NAD+) affect histone acetylation and thereby couple cellular metabolic status and transcriptional regulation. We report that the ketone body d-β-hydroxybutyrate (βOHB) is an endogenous
Perspective: the pace of modern life: measuring rates of contemporary microevolution,"['AP Hendry', 'MT Kinnison']",1999,Evolution,"We evaluate methods for measuring and specifying rates of microevolution in the wild, with particular regard to studies of contemporary, often deemed “rapid,” evolution. A considerable amount of ambiguity and inconsistency persists within the field, and we provide a number of"
The road to modularity,"['GP Wagner', 'M Pavlicev', 'JM Cheverud']",2007,Nature Reviews Genetics,"A network of interactions is called modular if it is subdivided into relatively autonomous, internally highly connected components. Modularity has emerged as a rallying point for research in developmental and evolutionary biology (and specifically evo–devo), as well as"
