title,author,pub_year,venue,abstract
The spandrels of San Marco and the Panglossian paradigm: a critique of the adaptationist programme,"['SJ Gould', 'RC Lewontin']",1979,… of the royal society of London …,An adaptationist programme has dominated evolutionary thought in England and the United States during the past 40 years. It is based on faith in the power of natural selection as an optimizing agent. It proceeds by breaking an organism into unitary 'traits' and proposing an
The problem of pattern and scale in ecology: the Robert H. MacArthur award lecture,['SA Levin'],1992,Ecology,"It is argued that the problem of pattern and scale is the central problem in ecology, unifying population biology and ecosystems science, and marrying basic and applied ecology. Applied challenges, such as the prediction of the ecological causes and consequences of"
Evolution of life histories: theory and analysis,['D Roff'],1993,NA,"There are many different types of organisms in the world: they differ in size, physiology, appearance, and life history. The challenge for evolutionary biology is to explain how such diversity arises. The Evolution of Life Histories does this by showing that natural selection is"
The structure of evolutionary theory,['SJ Gould'],2002,NA,"The world's most revered and eloquent interpreter of evolutionary ideas offers here a work of explanatory force unprecedented in our time—a landmark publication, both for its historical sweep and for its scientific vision. With characteristic attention to detail, Stephen Jay Gould"
The ecology of adaptive radiation,['D Schluter'],2000,NA,Adaptive radiation is the evolution of diversity within a rapidly multiplying lineage. It can cause a single ancestral species to differentiate into an impressively vast array of species inhabiting a variety of environments. Much of life's diversity has arisen during adaptive
Principles of animal communication,"['JW Bradbury', 'SL Vehrencamp']",1998,NA,"2 Amy, M., M. Monbureau, C. Durand, D. Gomez, M. Thery, and G. Leboucher. 2008. Female  canary mate preferences: differential use of information from two types of male-male  interaction. Animal Behaviour 76: 971–982  3 Aragon, P. 2009. Conspecific male chemical"
Punctuated equilibria: the tempo and mode of evolution reconsidered,"['SJ Gould', 'N Eldredge']",1977,Paleobiology,"We believe that punctuational change dominates the history of life: evolution is concentrated in very rapid events of speciation (geologically instantaneous, even if tolerably continuous in ecological time). Most species, during their geological history, either do not change in any"
"Quantitative genetic analysis of multivariate evolution, applied to brain: body size allometry",['R Lande'],1979,Evolution,"A basic principle of natural selection on correlated characters is expressed as an adaptive topography for the vector of mean phenotypes in a population. Under some simple conditions on the pattern of phenotypic and genetic covariation within populations, selection"
"Sexual dimorphism, sexual selection, and adaptation in polygenic characters",['R Lande'],1980,Evolution,The evolution of sexual dimorphism in quantitative characters under natural and sexual selection acting differently on the sexes is analyzed using population genetics models. The effects of genes when in males may be correlated with their effects when in females
Size and shape in ontogeny and phylogeny,"['P Alberch', 'SJ Gould', 'GF Oster', 'DB Wake']",1979,Paleobiology,We present a quantitative method for describing how heterochronic changes in ontogeny relate to phyletic trends. This is a step towards creating a unified view of developmental biology and evolutionary ecology in the study of morphological evolution. Using this
The role of phenotypic plasticity in driving genetic evolution,"['TD Price', 'A Qvarnström']",2003,Proceedings of the …,"Models of population divergence and speciation are often based on the assumption that differences between populations are due to genetic factors, and that phenotypic change is due to natural selection. It is equally plausible that some of the differences among"
The ecology of adaptive radiation,['D Schluter'],2000,NA,
The evolutionary ecology of ant-plant mutualisms,['AJ Beattie'],1985,NA,"Mutualistic interactions between ants and plants involve rewards offered by plants and services performed by ants in a mutually advantageous relationship. The rewards are principally food and/or nest sites, and ants in turn perform a number of services for plants"
Phylogenetic comparative analysis: a modeling approach for adaptive evolution,"['MA Butler', 'AA King']",2004,The American Naturalist,"Biologists employ phylogenetic comparative methods to study adaptive evolution. However, none of the popular methods model selection directly. We explain and develop a method based on the Ornstein-Uhlenbeck (OU) process, first proposed by Hansen. Ornstein"
Stabilizing selection and the comparative analysis of adaptation,['TF Hansen'],1997,Evolution,"Comparative studies tend to differ from optimality and functionality studies in how they treat adaptation. While the comparative approach focuses on the origin and change of traits, optimality studies assume that adaptations are maintained at an optimum by stabilizing"
