title,author,pub_year,venue,abstract
Biometrical genetics: The study of continuous variation,"['K Mather', 'JL Jinks']",2013,NA,The properties of continuous variation are basic to the theory of evolution and to the practice of plant and animal improvement. Yet the genetical study of continuous variation has lagged far behind that of discontinuous variation. The reason for this situation is basically
"Quantitative genetic analysis of multivariate evolution, applied to brain: body size allometry",['R Lande'],1979,Evolution,"A basic principle of natural selection on correlated characters is expressed as an adaptive topography for the vector of mean phenotypes in a population. Under some simple conditions on the pattern of phenotypic and genetic covariation within populations, selection"
Perspective: complex adaptations and the evolution of evolvability,"['GP Wagner', 'L Altenberg']",1996,Evolution,The problem of complex adaptations is studied in two largely disconnected research traditions: evolutionary biology and evolutionary computer science. This paper summarizes the results from both areas and compares their implications. In evolutionary computer
Evolutionary quantitative genetics: how little do we know?,"['NH Barton', 'M Turelli']",1989,Annual review of genetics,"The centenary of Galton's (84)"" Natural Inheritance"" emphasizes the continu ity between the ideas of the early pioneers and the modem renaissance of evolutionary quantitative genetics (142). Many questions posed by Galton, Weldon, and Pearson remain only partially"
Genetic variation and phenotypic evolution during allopatric speciation,['R Lande'],1980,The American Naturalist,"Quantitative genetic models of phenotypic evolution in small isolated populations are presented, from the initial founding event to continued random genetic drift and natural selection toward a new optimum phenotype. The basic features of complex morphologies"
Heritable genetic variation via mutation-selection balance: Lerch's zeta meets the abdominal bristle,['M Turelli'],1984,Theoretical population biology,Most quantitative traits in most populations exhibit heritable genetic variation. Lande proposed that high levels of heritable variation may be maintained by mutation in the face of stabilizing selection. Several analyses have appeared of two distinct models with n additive
A population genetic theory of canalization,"['GP Wagner', 'G Booth', 'H Bagheri‐Chaichian']",1997,Evolution,"Canalization is the suppression of phenotypic variation. Depending on the causes of phenotypic variation, one speaks either of genetic or environmental canalization. Genetic canalization describes insensitivity of a character to mutations, and the insensitivity to"
Genetic variability maintained in a finite population due to mutational production of neutral and nearly neutral isoalleles,['M Kimura'],1968,Genetics research,1. The average and the effective numbers of alleles maintained in a finite population due to mutational production of neutral isoalleles were studied by mathematical analysis and computer simulation. 2. The exact formula was derived for the effective number (ne) of
The genetic structure of natural populations of Drosophila melanogaster. I. Spontaneous mutation rate of polygenes controlling viability,['T Mukai'],1964,Genetics,"MATERIALS AND METHODS Materials: The following two stocks were used in the present experiments:(1) W160S, an isogenic wild-type stock maintained by sib-mating for about five generations after the fourth chromosome of the isogenic line w16O-pol (MUKAI 1961) was"
A quantitative-genetic perspective on conservation issues,['M Lynch'],1995,Conservation genetics: case histories from nature,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索
Conservation genetics: techniques and fundamentals,"['PW Hedrick', 'PS Miller']",1992,Ecological Applications,"Conservation genetics utilizes the tools and concepts of genetics and applies them to problems in conservation biology. For example, molecular genetic techniques, such as protein electrophoresis, and analysis of mitochondrial DNA and highly variable nuclear"
Phenotypic evolution by neutral mutation,"['M Lynch', 'WG Hill']",1986,Evolution,A general model is developed for predicting the genetic variance within populations and the rate of divergence of population mean phenotypes for quantitative traits under the joint operation of random sampling drift and mutation in the absence of selection. In addition to
Supervital mutants of Arabidopsis,['GP Rédei'],1962,Genetics,"MATERIALS AND METHODS Arabidopsis thaliana (L.) Heynh., an autogamous crucifer offers several useful features as an experimental tool for genetic studies. The complete life cycle of the early ecotypes is about five-six weeks under suitable conditions. The plants are"
Neutral theory of quantitative genetic variance in an island model with local extinction and colonization,['R Lande'],1992,Evolution,"Additive genetic variance maintained by mutation in a selectively neutral quantitative character is analyzed for an ideal population distributed on n islands, each with local effective size N, that exchange migrants at a small rate, m. In a stable population structure"
An experimental check on quantitative genetical theory I. Short-term responses to selection,"['GA Clayton', 'JA Morris', 'A Robertson']",1957,Journal of Genetics,"The paper describes the response, in the early generations, of a large random-breeding population of Drosophila melanogaster to selection for abdominal bristle score. The main purpose of the work was an examination of the adequacy of existing theory in describing"
The rate of polygenic mutation,['M Lynch'],1988,Genetics Research,"By application of the neutral model of phenotypic evolution, quantitative estimates of the rate of input of genetic variance by polygenic mutation can be extracted from divergence experiments as well as from the response of an inbred base population to selection. The"
Artificial selection experiments,"['WG Hill', 'A Caballero']",1992,Annual Review of Ecology and …,A knowledge of the magnitude of genetic variability and covariability of quantitative traits in natural populations and an understanding of the action of forces that maintain variation and those that lead to change are fundamental to the study of evolutionary biology. Artificial
Evolutionary origins of invasive populations,"['CE Lee', 'GW Gelembiuk']",2008,Evolutionary Applications,What factors shape the evolution of invasive populations? Recent theoretical and empirical studies suggest that an evolutionary history of disturbance might be an important factor. This perspective presents hypotheses regarding the impact of disturbance on the evolution of
Predictions of response to artificial selection from new mutations,['WG Hill'],1982,Genetics Research,"The pattern of response expected from fixation of mutant genes for quantitative traits in finite populations is investigated for a range of distributions of mutant gene effects. The eventual rate depends on the total variance of mutant effects per generation, but the initial rate and"
Mutation-driven evolution,['M Nei'],2013,NA,"The purpose of this book is to present a new mechanistic theory of mutation-driven evolution based on recent advances in genomics and evolutionary developmental biology. The theory asserts, perhaps somewhat controversially, that the driving force behind evolution is"
The viability of near-normal irradiated chromosomes,['AJ Bateman'],1959,International Journal of Radiation Biology and …,"After the exclusion of major mutations, both lethals and semi-lethals, the viability in the Drosophila male of X-chromosomes irradiated in sperm shows a slight reduction, which is, nevertheless, highly significant. The change in mean viability is accompanied by a barely"
Rate tests for selection on quantitative characters during macroevolution and microevolution,"['M Turelli', 'JH Gillespie', 'R Lande']",1988,Evolution,"Evolutionary biologists are increasingly interested in testing alternative models rather than simply presenting plausible explanations for their observations. Although most biologists agree that significant phenotypic changes cannot occur without natural selection, it is useful"
How much heritable variation can be maintained in finite populations by mutation–selection balance?,"['R Bürger', 'GP Wagner', 'F Stettinger']",1989,Evolution,"The joint effects of stabilizing selection, mutation, recombination, and random drift on the genetic variability of a polygenic character in a finite population are investigated. A simulation study is performed to test the validity of various analytical predictions on the"
The nature of quantittative genetic variation revisited: Lessons from Drosophila bristles,['TFC Mackay'],1996,BioEssays,"Most characters that distinguish one individual from another, like height or weight, vary continuously in populations. Continuous variation of these 'quantitative'traits is due to the simultaneous segregation of multiple quantitative trait loci (QTLs) as well as environmental"
Did natural selection or genetic drift produce the cranial diversification of neotropical monkeys?,"['G Marroig', 'JM Cheverud']",2004,The American Naturalist,"A central controversy among biologists is the relative importance of natural selection and genetic drift as creative forces shaping biological diversification (Fisher; Wright). Historically, this controversy has been an effective engine powering several evolutionary research"
Induced mutation of polygenes for quantitative characters in rice,"['HI Oka', 'J HAYASHI', 'I SHIOJIRI']",1958,Journal of heredity,"Materials and Methods A pure-line of the variety"" Kissin""(a commercial variety in western Japan), which was obtained by repeated selffertilization from a single plant, was used. Seeds of a plant of the pure-line were divided into three parts; two of them were X-rayed at a"
Genotype-environment interaction at quantitative trait loci affecting sensory bristle number in Drosophila melanogaster,"['MC Gurganus', 'JD Fry', 'SV Nuzhdin', 'EG Pasyukova']",1998,Genetics,The magnitude of segregating variation for bristle number in Drosophila melanogaster exceeds that predicted from models of mutation-selection balance. To evaluate the hypothesis that genotype-environment interaction (GEI) maintains variation for bristle
Artificial selection for genetic adaptation to temperature extremes in Aphytis lingnanensis Compere (Hymenoptera: Aphelinidae).,"['EB White', 'P Debach', 'MJ Garber']",1970,Hilgardia,The following is virtually the authors' summary. Various populations of Aphytis lingnanensis Comp. derived from a large gene pool in California were successfully selected for tolerance to extreme temperatures. Though irradiation techniques were
The genetic architecture of Drosophila sensory bristle number,"['CL Dilda', 'TFC Mackay']",2002,Genetics,"We have mapped quantitative trait loci (QTL) for Drosophila mechanosensory bristle number in six recombinant isogenic line (RIL) mapping populations, each of which was derived from an isogenic chromosome extracted from a line selected for high or low, sternopleural or"
"Mutation, selection, and the maintenance of life‐history variation in a natural population","['M Lynch', 'L Latta', 'J Hicks', 'M Giorgianni']",1998,Evolution,"In an effort to provide insight into the role of mutation in the maintenance of genetic variance for life‐history traits, we accumulated spontaneous mutations in 10 sets of clonal replicates of Daphnia pulex for approximately 30 generations and compared the variance generated"
The role of induced mutations in plant improvement,['RD Brock'],1971,Radiation Botany,"Induced mutations are considered as an alternative to naturally occurring variation as the source of germ plasm for plant improvement programmes, and as an alternative to hybridization and recombination in plant breeding. There is no theoretical need to preserve"
Quantitative genetic variability maintained by mutation-stabilizing selection balance in finite populations,"['PD Keightley', 'WG Hill']",1988,Genetics Research,Models of variability in quantitative traits maintained by a balance between mutation and stabilizing selection are investigated. The effects of mutant alleles are assumed to be additive and to be randomly sampled from a stationary distribution. With a two-allele model
"Incipient allochronic speciation due to non-selective assortative mating by flowering time, mutation and genetic drift","['C Devaux', 'R Lande']",2008,… of the Royal Society B: Biological …,We model the evolution of flowering time using a multilocus quantitative genetic model with non-selective assortative mating and mutation to investigate incipient allochronic speciation in a finite population. For quantitative characters with evolutionary parameters satisfying
Breeding plans for small populations based on the dynamics of quantitative genetic variance,['R Lande'],1995,Population management for survival and recovery …,"Habitat destruction and fragmentation will often make it necessary to protect small populations in nature preserves or to establish captive breeding programs to prevent their extinction. In most wild populations, ecological factors are likely to be more important than"
Entomological aspects of radiation as related to genetics and physiology,['DS Grosch'],1962,Annual Review of Entomology,"In contrast to the situation in mammals, egg production in insects lends itself to direct quantitative investigation while the study of sperm producн tion is inconvenient. Ejaculate samples are not readily available and the dissection of males (133) or of females (6, 134) to"
Phylogenetic hypotheses under the assumption of neutral quantitative‐genetic variation,['M Lynch'],1989,Evolution,There are many situations in which the only available characters for reconstructing phylogenies are morphological. Those traits that are subject only to the forces of mutation and random genetic drift can be used to obtain unbiased estimates of phylogenetic
Spontaneous Mutational Variation for Body Size in Caenorhabditis elegans,"['RBR Azevedo', 'PD Keightley', 'C Laurén-Määttä']",2002,Genetics,"We measured the impact of new mutations on genetic variation for body size in two independent sets of C. elegans spontaneous mutation-accumulation (MA) lines, derived from the N2 strain, that had been maintained by selfing for 60 or 152 generations. The two"
Increased selection response in larger populations. I. Selection for wing-tip height in Drosophila melanogaster at three population sizes.,['KE Weber'],1990,Genetics,"The effect of population size on selection response was investigated with replicated selection lines of 40, 200 and 1000 selected parents, using Drosophila melanogaster homozygous for the mutant raised. Selection for increased wing-tip height was carried out"
POLYGENIC MUTATION IN DROSOPHILA MELANOGASTER: ESTIMATES FROM DIVERGENCE AMONG INBRED STRAINS,"['TFC Mackay', 'RF Lyman', 'MS Jackson', 'C Terzian']",1992,…,"A highly inbred line of Drosophila melanogaster was subdivided into 25 replicate sublines, which were independently maintained for 100 generations with 10 pairs of unselected flies per generation. The polygenic mutation rate (VM) for two quantitative traits, abdominal and"
What animal breeding has taught us about evolution,"['WG Hill', 'M Kirkpatrick']",2010,"Annual review of ecology, evolution, and …","We review the impact of developments from animal breeding on our understanding of evolution and on the methodology used in evolutionary biology. The theory developed for improvement of polygenic traits, in particular the breeders' equation and the effects of finite"
Mutation in human populations,"['JF Crow', 'C Denniston']",1985,Advances in Human Genetics 14,"Spontaneous mutation in man was reviewed in this series almost a decade ago (Vogel and Rathenberg, 1975). These authors remarked that mutation rates in general, and human rates in particular, had not been the subject of the extensive, systematic study that might be"
Rates of subline divergence in highly inbred strains of mice,['DW Bailey'],1959,Journal of Heredity,"Materials and Methods Two highly inbred strains of mice were available for this study, each of• The data for this study were gathered and partially analyzed at the Roscoe B. Jackson Memorial Laboratory, Bar Harbor, Maine, under contract No. AT (30-1)-1272 with the Atomic"
The maintenance of polygenic variation in finite populations,['D Houle'],1989,Evolution,"Models of the maintenance of genetic variance in a polygenic trait have usually assumed that population size is infinite and that selection is weak. Consequently, they will overestimate the amount of variation maintained in finite populations. I derive"
The effects of X-rays on quantitative characters,"['GA Clayton', 'A Robertson']",1964,Genetics Research,"1. The rate of production by X-rays of new genetic variation in two quantitative characters in Drosophila melanogaster (sternital and sternopleural bristles) has been investigated, using 'plateaued'populations which had reached the limit under artificial selection and, for sternital"
Genetic basis of response to 50 generations of selection on body weight in inbred mice,['PD Keightley'],1998,Genetics,A long-established inbred strain of mice was divergently selected for body weight for 50 generations. Selection of new mutations affecting the trait eventually led to a divergence of approximately three phenotypic standard deviations between the high and low lines
Polygenic mutation,['T Mukai'],1979,Quantitative genetic variation,"The astonishingly rapid development of molecular genetics has supplied us with abundant information of major genes, but little is known about polygenes, which are supposed to be very important for evolution. The definition of polygenes was 0perational. They are l'the"
Phylogenetic comparative methods: learning from trees,['L Harmon'],2018,NA,"Evolution is happening all around us. In many cases–lately, due to technological advances in molecular biology–scientists can now describe the evolutionary process in exquisite detail. For example, we know exactly which genes change in frequency from one generation"
Accounting for bias in estimates of the rate of polygenic mutation,"['PD Keightley', 'TFC Mackay']",1993,Proceedings of the …,Experimental data on the rate of response to artificial selection in initially inbred lines or the rate of divergence among inbred sublines can be used to estimate the rate of increase in variance of quantitative traits from new mutations. So far estimates have been based on the
Analysis and implications of mutational variation,"['PD Keightley', 'DL Halligan']",2009,Genetica,"Variation from new mutations is important for several questions in quantitative genetics. Key parameters are the genomic mutation rate and the distribution of effects of mutations (DEM), which determine the amount of new quantitative variation that arises per generation from"
MODELING THE ADAPTIVE POTENTIAL OF ISOLATED POPULATIONS: EXPERIMENTAL SIMULATIONS USING DROSOPHILA,"['WR Swindell', 'JL Bouzat']",2005,Evolution,The genetic variability underlying many morphological and stress resistance traits may largely depend on the effects of genetic drift balanced by polygenic mutation. This model of adaptive potential has played a central role in the minimum viable population size concept
A search for genetic effects of high natural radioactivity in South India.,"['H Gbüneberg', 'GS Bains', 'BJ Bebby', 'L Biles']",1966,A search for genetic …,A study was made of the macerated skeletons and teeth of 438 rats (Rattus rattus L.) from 8 localities of a geographically isolated coastal area of Kerala in which the mean gamma radiation is about 70.5 times that of control areas inland; 458 rats were
MORPHOMETRIC VARIABILITY IN CONTINENTAL AND ATLANTIC ISLAND POPULATIONS OF CHAFFINCHES (FRINGILLA COELEBS),"['MD Dennison', 'AJ Baker']",1991,Evolution,"The magnitudes of phenotypic variances in peripherally isolated populations of common chaffinches (Fringilla coelebs) in the Azores, Madeira, and Canaries relative to their continental source populations in Iberia and Morocco have played a pivotal role in the"
Models of long-term artificial selection in finite population with recurrent mutation,"['WG Hill', 'J Rasbash']",1986,Genetics Research,"The effects of mutation on mean and variance of response to selection for quantitative traits are investigated. The mutants are assumed to be unlinked, to be additive, and to have their effects symmetrically distributed about zero, with absolute values of effects having a gamma"
The divergence of neutral quantitative characters among partially isolated populations,['M Lynch'],1988,Evolution,The neutral model of phenotypic evolution has yielded several simple predictions about the long‐term rates of between‐population divergence of polygenic traits and about the equilibrium level of within‐population variance when mutation and random genetic drift are
Transposable element-induced polygenic mutations in Drosophila melanogaster,['TFC Mackay'],1987,Genetics Research,P-element mutagenesis was used to contaminate M-strain second chromosomes with P elements. The effect of P-element transposition on abdominal and sternopleural bristle scores and on female productivity was deduced by comparing the distributions of these
On the relative role of mutation and recombination in responses to selection for polygenic traits in irradiated populations of D. melanogaster,"['RE Scossiroli', 'S Scossiroli']",1959,International Journal of Radiation …,X-ray treatments are a very efficient tool for inducing polygenic mutation and therefore additive genetic variability for polygenic traits in Drosophila.(2) Artificial selection can make use of the new genetic variability.(3) X-ray-induced increase in recombination rates does not
Mutations in quantitatively inherited traits induced by neutron irradiation,['RD Brock'],1970,Radiation Botany,The majority of studies involving quantitatively inherited variability induced by neutrons have been made with thermal neutrons and have been associated with attempts to select useful mutants in self-fertilizing species of plants. Neutrons induced similar amounts and types of
Unequal crossing over at the rRNA tandon as a source of quantitative genetic variation in Drosophila,"['R Frankham', 'DA Briscoe', 'RK Nurthen']",1980,Genetics,"Abdominal bristle selection lines (three high and three low) and controls were founded from a marked homozygous line to measure the contribution of sex-linked"" mutations"" to selection response. Two of the low lines exhibited a period of rapid response to selection in females"
Population and quantitative genetics of many linked loci in finite populations,"['A Robertson', 'WG Hill']",1983,… of the Royal society of London …,"Theoretical studies on the effects of linkage on variability of quantitative traits and response to directional selection in finite populations are reviewed. Emphasis is given to predictions that can be based on observable parameters, such as population size, chromosome lengths"
Mutational variation and long-term selection response,['PD Keightley'],2004,Plant breeding reviews,"10 Mutational Variation and Long-term Selection Response* Peter D. Keightley School of Biological  Sciences University of Edinburgh West Mains Road, Edinburgh EH9 3JT, UK I. INTRODUCTION  II. STUDYING SPONTANEOUS MUTATIONS AFFECTING QUANTITATIVE TRAITS A. Experimental"
Genetic differences between populations of Drosophila melanogaster for a quantitative trait: II. Wild and laboratory populations,"['C López-Fanjul', 'WG Hill']",1973,Genetics Research,"Crosses were made between four populations of Drosophila melanogaster–three of which were laboratory populations (Kaduna, Pacific and Canberra) and one recently captured (Stellenbosch)–and a line previously selected for low sternopleural bristle number for many"
"Maintenance of quantitative genetic variance under partial self-fertilization, with implications for evolution of selfing","['R Lande', 'E Porcher']",2015,Genetics,We analyze two models of the maintenance of quantitative genetic variance in a mixed-mating system of self-fertilization and outcrossing. In both models purely additive genetic variance is maintained by mutation and recombination under stabilizing selection on the
Effects of population size on response to short and long term selection1,['WG Hill'],1985,Journal of Animal Breeding and Genetics,The theoretical and practical implications of population size on selection programmes are reviewed. Short term responses can be predicted from genetic variances and depend little on the distribution of gene effects and frequencies. The main influence of population size (N)
Mutational bias for body size in rhabditid nematodes,"['D Ostrow', 'N Phillips', 'A Avalos', 'D Blanton', 'A Boggs']",2007,Genetics,"Mutational bias is a potentially important agent of evolution, but it is difficult to disentangle the effects of mutation from those of natural selection. Mutation-accumulation experiments, in which mutations are allowed to accumulate at very small population size, thus minimizing"
Mutation models and quantitative genetic variation.,"['ZB Zeng', 'CC Cockerham']",1993,Genetics,Analyses of evolution and maintenance of quantitative genetic variation depend on the mutation models assumed. Currently two polygenic mutation models have been used in theoretical analyses. One is the random walk mutation model and the other is the house-of
The limits to artificial selection for body weight in the mouse: IV. Sources of new genetic variance—irradiation and outcrossing,['RC Roberts'],1967,Genetics Research,"1. Two methods are examined of introducing new genetic variance into a line of mice selected for high 6-week weight which, at its limit, displayed no additive genetic variance. 2. The first method—irradiation—gave largely negative results. Any further gain under"
Selection for increased abdominal bristle number in Drosophila melanogaster with concurrent irradiation,"['B Hollingdale', 'JSF Barker']",1971,Theoretical and Applied Genetics,"Replicate lines, each initially with one hundred pairs of parents selected at 50% intensity, were derived from the Canberra strain. In later generations population size was reduced and selection intensity increased. Three lines were selected without irradiation and five with"
Standing variation and new mutations both contribute to a fast response to selection for flowering time in maize inbreds,"['E Durand', 'MI Tenaillon', 'C Ridel']",2010,BMC …,"In order to investigate the rate and limits of the response to selection from highly inbred genetic material and evaluate the respective contribution of standing variation and new mutations, we conducted a divergent selection experiment from maize inbred lines in open"
Evaluation of the use of induced micro and macro mutations in breeding of polyploid crop plants.,['MS Swaminathan'],1961,Symposium on Application of Nuclear Energy to …,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索
A study of spontaneous mutation in Drosophila melanogaster,['GJ Paxman'],1959,Genetica,"A number of experimental lines were initiated from an inbred line, such that the second chromosome in each case was balanced against an inversion. Mutation was then allowed to accumulate on the chromosome II in each line, while the other chromosomes (the genetic"
Optimal sampling strategies for core collections of plant genetic resources,"['AHD Brown', 'DJ Schoen']",1994,Conservation genetics,A core collection of crop germplasm aims to represent the genetic diversity in a single collection or in a crop species with minimum similarity between its entries. Core collections have a major role to play in conserving genetic resources and using them in plant
THE ECOLOGY AND GENETICS OF FITNESS IN CHLAMYDOMONAS. IX. THE RATE OF ACCUMULATION OF VARIATION OF FITNESS UNDER SELECTION,"['S Goho', 'G Bell']",2000,Evolution,"Populations of Chlamydomonas founded by single cells were cultured in chemostats for 50 days, representing about 125 generations. The mean and variance of division rate was measured daily by withdrawing cells from the effluent and culturing them for 24 h on filtered"
Genetic differences between populations of Drosophila melanogaster for a quantitative trait: I. Laboratory populations,"['C López-Fanjul', 'WG Hill']",1973,Genetics Research,"An experiment was carried out to test whether two laboratory cage populations of Drosophila melanogaster from different origins (Kaduna and Pacific) differed in the genes for sternopleural bristle number. The means, variances and heritabilities of the two populations"
